Country;TotalCases;NewCases;TotalDeaths;NewDeaths;TotalRecovered;ActiveCases;last_updated
AC;NA;NA;NA;NA;NA;NA;2020-01-30
AC;NA;NA;NA;NA;NA;NA;2020-01-31
AC;NA;NA;NA;NA;NA;NA;2020-02-01
AC;NA;NA;NA;NA;NA;NA;2020-02-02
AC;NA;NA;NA;NA;NA;NA;2020-02-03
AC;NA;NA;NA;NA;NA;NA;2020-02-04
AC;NA;NA;NA;NA;NA;NA;2020-02-05
AC;NA;NA;NA;NA;NA;NA;2020-02-06
AC;NA;NA;NA;NA;NA;NA;2020-02-07
AC;NA;NA;NA;NA;NA;NA;2020-02-08
AC;NA;NA;NA;NA;NA;NA;2020-02-09
AC;NA;NA;NA;NA;NA;NA;2020-02-10
AC;NA;NA;NA;NA;NA;NA;2020-02-11
AC;NA;NA;NA;NA;NA;NA;2020-02-12
AC;NA;NA;NA;NA;NA;NA;2020-02-13
AC;NA;NA;NA;NA;NA;NA;2020-02-14
AC;NA;NA;NA;NA;NA;NA;2020-02-15
AC;NA;NA;NA;NA;NA;NA;2020-02-16
AC;NA;NA;NA;NA;NA;NA;2020-02-17
AC;NA;NA;NA;NA;NA;NA;2020-02-18
AC;NA;NA;NA;NA;NA;NA;2020-02-19
AC;NA;NA;NA;NA;NA;NA;2020-02-20
AC;NA;NA;NA;NA;NA;NA;2020-02-21
AC;NA;NA;NA;NA;NA;NA;2020-02-22
AC;NA;NA;NA;NA;NA;NA;2020-02-23
AC;NA;NA;NA;NA;NA;NA;2020-02-24
AC;NA;NA;NA;NA;NA;NA;2020-02-25
AC;NA;NA;NA;NA;NA;NA;2020-02-26
AC;NA;NA;NA;NA;NA;NA;2020-02-27
AC;NA;NA;NA;NA;NA;NA;2020-02-28
AC;NA;NA;NA;NA;NA;NA;2020-02-29
AC;NA;NA;NA;NA;NA;NA;2020-03-01
AC;NA;NA;NA;NA;NA;NA;2020-03-02
AC;NA;NA;NA;NA;NA;NA;2020-03-03
AC;NA;NA;NA;NA;NA;NA;2020-03-04
AC;NA;NA;NA;NA;NA;NA;2020-03-05
AC;NA;NA;NA;NA;NA;NA;2020-03-06
AC;NA;NA;NA;NA;NA;NA;2020-03-07
AC;NA;NA;NA;NA;NA;NA;2020-03-08
AC;NA;NA;NA;NA;NA;NA;2020-03-09
AC;NA;NA;NA;NA;NA;NA;2020-03-10
AC;NA;NA;NA;NA;NA;NA;2020-03-11
AC;NA;NA;NA;NA;NA;NA;2020-03-12
AC;NA;NA;NA;NA;NA;NA;2020-03-13
AC;NA;NA;NA;NA;NA;NA;2020-03-14
AC;NA;NA;NA;NA;NA;NA;2020-03-15
AC;NA;NA;NA;NA;NA;NA;2020-03-16
AC;NA;NA;NA;NA;NA;NA;2020-03-17
AC;NA;NA;NA;NA;NA;NA;2020-03-18
AC;3;3;NA;NA;NA;NA;2020-03-19
AC;7;4;NA;NA;NA;NA;2020-03-20
AC;9;2;NA;NA;NA;NA;2020-03-21
AC;11;2;NA;NA;NA;NA;2020-03-22
AC;11;NA;NA;NA;NA;NA;2020-03-23
AC;17;6;NA;NA;NA;NA;2020-03-24
AC;23;6;NA;NA;NA;NA;2020-03-25
AC;24;1;NA;NA;NA;NA;2020-03-26
AC;25;1;NA;NA;NA;NA;2020-03-27
AC;25;NA;NA;NA;NA;NA;2020-03-28
AC;34;9;NA;NA;NA;NA;2020-03-29
AC;42;8;NA;NA;NA;NA;2020-03-30
AC;42;NA;NA;NA;NA;NA;2020-03-31
AC;43;1;NA;NA;NA;NA;2020-04-01
AC;43;NA;NA;NA;NA;NA;2020-04-02
AC;46;3;NA;NA;NA;NA;2020-04-03
AL;NA;NA;NA;NA;NA;NA;2020-01-30
AL;NA;NA;NA;NA;NA;NA;2020-01-31
AL;NA;NA;NA;NA;NA;NA;2020-02-01
AL;NA;NA;NA;NA;NA;NA;2020-02-02
AL;NA;NA;NA;NA;NA;NA;2020-02-03
AL;NA;NA;NA;NA;NA;NA;2020-02-04
AL;NA;NA;NA;NA;NA;NA;2020-02-05
AL;NA;NA;NA;NA;NA;NA;2020-02-06
AL;NA;NA;NA;NA;NA;NA;2020-02-07
AL;NA;NA;NA;NA;NA;NA;2020-02-08
AL;NA;NA;NA;NA;NA;NA;2020-02-09
AL;NA;NA;NA;NA;NA;NA;2020-02-10
AL;NA;NA;NA;NA;NA;NA;2020-02-11
AL;NA;NA;NA;NA;NA;NA;2020-02-12
AL;NA;NA;NA;NA;NA;NA;2020-02-13
AL;NA;NA;NA;NA;NA;NA;2020-02-14
AL;NA;NA;NA;NA;NA;NA;2020-02-15
AL;NA;NA;NA;NA;NA;NA;2020-02-16
AL;NA;NA;NA;NA;NA;NA;2020-02-17
AL;NA;NA;NA;NA;NA;NA;2020-02-18
AL;NA;NA;NA;NA;NA;NA;2020-02-19
AL;NA;NA;NA;NA;NA;NA;2020-02-20
AL;NA;NA;NA;NA;NA;NA;2020-02-21
AL;NA;NA;NA;NA;NA;NA;2020-02-22
